CUST_ID,gender,DateOfBirth,State,Contact,Segment
3159546,Male,10/20/1987,TX,586-129-9752,Platinum
88449349,Male,12/17/1979,WA,975-547-5196,Platinum
35937389,Female,7/31/1978,AZ,971-841-3152,Silver
19441247,Female,6/10/1974,WV,439-538-7538,Platinum
7208859,Female,2/15/1991,OK,372-267-3189,Gold
65950591,Male,1/25/1969,NH,543-543-2549,Silver
2327487,Male,2/8/1999,AZ,215-589-3761,Platinum
30722342,Male,4/4/1999,OH,316-863-5832,Silver
31289360,Male,11/15/1998,GA,869-486-1267,Gold
24826170,Male,3/5/1987,WA,361-476-4591,Gold
14860484,Male,12/2/1994,OK,864-361-2564,Gold
39642700,Female,6/13/1985,IN,745-342-2471,Silver
3689105,Female,3/23/1999,NE,923-198-9827,Silver
58850120,Female,7/23/1960,UT,819-478-8453,Platinum
76965994,Male,3/28/1960,NY,132-927-9824,Gold
14490971,Female,12/10/1976,MN,614-652-1274,Silver
88277241,Male,4/27/1976,NV,684-482-6745,Platinum
87386746,Male,12/23/1982,ND,741-473-8976,Gold
55157616,Female,10/21/1967,MN,136-736-1978,Gold
55593844,Female,3/2/1965,NC,129-925-2819,Gold
72556809,Male,1/14/1998,ID,582-928-4938,Platinum
45653187,Male,5/22/1963,AL,836-247-1264,Silver
48538925,Female,9/25/1967,NE,378-563-3695,Gold
68724425,Male,10/6/1961,VA,389-769-2197,Gold
50817031,Male,11/17/1963,MI,728-483-4185,Gold
16836323,Male,12/22/1970,MS,398-364-9741,Gold
72701589,Female,8/23/1994,AR,745-968-1753,Silver
88126167,Female,12/22/1993,IA,691-739-8963,Gold
50642114,Female,12/6/1961,FL,925-298-5137,Gold
32180678,Male,2/24/1985,KS,975-682-7836,Platinum
74155265,Male,11/16/1985,TX,392-739-4873,Gold
26168099,Male,10/27/1995,NC,325-687-3651,Silver
804961,Female,12/7/1997,AL,487-723-4167,Gold
25823839,Male,12/27/1971,ME,678-925-6195,Silver
61745840,Female,7/24/1994,MA,612-684-5472,Platinum
86024944,Female,8/1/1974,AZ,742-298-4693,Silver
40080423,Female,9/13/1969,NY,769-451-9372,Gold
14275512,Male,6/24/1971,MI,362-839-2153,Platinum
70442756,Female,6/16/1963,VA,174-415-5381,Platinum
36829984,Female,12/1/1965,CA,713-967-1935,Platinum
68772500,Male,11/10/1989,TX,562-259-5432,Silver
154557,Female,5/23/1978,DE,962-879-1238,Platinum
97640137,Male,8/14/1975,SD,812-824-4285,Platinum
49270602,Male,4/10/1960,IL,837-734-6732,Platinum
25021031,Female,12/7/1972,IL,537-548-5913,Platinum
2590748,Female,11/30/1991,MO,185-517-6934,Platinum
98905793,Female,11/11/1993,ID,823-482-5839,Platinum
39495715,Male,9/16/1968,LA,572-615-8539,Gold
64840478,Female,2/14/1974,NM,918-174-7461,Silver
30541131,Female,3/17/1988,CO,857-137-2347,Silver
51503228,Male,7/12/1960,IA,612-258-9783,Silver
57959733,Female,12/31/1967,AR,689-628-5247,Platinum
82415154,Female,3/8/1980,DE,578-942-1542,Platinum
67861420,Female,4/28/1992,UT,645-657-5692,Platinum
16811546,Male,7/9/1976,KS,486-341-4781,Gold
74840885,Female,5/9/1966,IA,149-458-3751,Platinum
95719884,Female,11/26/1989,CT,759-157-6329,Platinum
22856223,Female,8/7/1963,AR,728-953-8257,Platinum
26965990,Female,12/14/1998,NH,823-634-8723,Platinum
48447568,Male,6/26/1962,CT,294-936-9134,Gold
16102401,Male,10/7/1996,CT,148-543-1362,Silver
26448215,Female,3/10/1983,CT,765-438-8462,Silver
40922910,Male,9/12/1963,IN,246-527-5983,Gold
43293983,Female,8/12/1989,NM,356-724-4721,Gold
51195864,Female,11/24/1971,ND,831-136-3859,Gold
36395486,Male,3/6/1971,ND,365-482-4683,Gold
32850276,Male,10/29/1963,ME,893-673-8192,Platinum
94041088,Male,7/16/1990,NM,815-641-3516,Silver
90718924,Male,9/30/1970,ME,185-286-2134,Silver
51278451,Female,4/23/1982,NJ,597-396-2931,Gold
16868327,Male,2/14/1968,VT,426-293-4958,Silver
32269248,Female,6/27/1971,NE,574-857-9387,Gold
35410919,Female,5/7/1995,AZ,862-765-3425,Silver
20716946,Female,6/10/1981,KY,526-579-6814,Platinum
90102508,Male,7/25/1985,AZ,794-134-3864,Gold
40744509,Male,9/18/1999,MD,746-571-4539,Gold
51460517,Male,12/25/1969,ND,925-214-7481,Gold
9677945,Female,5/28/1987,SC,849-461-6419,Platinum
34297743,Female,3/17/1976,WI,726-673-6513,Platinum
17682060,Female,11/21/1974,NV,186-195-3465,Gold
29750601,Female,10/28/1995,RI,652-976-9723,Platinum
97698815,Male,5/6/1977,OH,352-765-2183,Gold
28920170,Male,7/18/1962,ID,498-547-6829,Silver
55572419,Female,5/31/1965,CO,728-934-9134,Gold
77219712,Female,8/5/1999,NH,649-592-8793,Platinum
39286853,Female,6/23/1993,ND,829-753-4352,Platinum
47226965,Male,6/27/1995,MN,935-251-3941,Platinum
68757979,Female,6/7/1964,KY,835-238-5426,Platinum
69956308,Female,2/9/1981,AL,934-541-3417,Gold
47603757,Female,8/9/1996,NE,214-247-6582,Platinum
83534717,Male,5/17/1965,MI,732-632-3689,Silver
40480522,Female,5/30/1984,NV,739-259-6835,Gold
86597605,Female,4/21/1962,ME,794-584-3826,Gold
7829022,Male,8/12/1980,ND,964-432-2841,Platinum
77985379,Female,5/20/1984,MD,619-412-8295,Platinum
2826434,Female,11/25/1994,MN,863-274-1853,Platinum
16548727,Female,11/11/1984,ND,475-651-3249,Platinum
94267140,Male,10/7/1967,MO,765-672-8396,Gold
5637733,Male,5/27/1964,ID,567-617-1874,Platinum
684748,Male,8/3/1977,AK,613-385-2863,Gold
65047878,Female,8/23/1979,SD,593-329-6298,Silver
84614509,Male,1/14/1981,WI,576-536-8742,Silver
93766634,Female,9/20/1970,OH,871-813-4512,Gold
68712439,Male,8/17/1990,WI,397-361-3286,Platinum
88785895,Male,4/24/1977,CO,549-729-2915,Gold
33924586,Female,3/28/1976,MA,187-187-9648,Silver
1852176,Male,6/23/1967,PA,563-749-5436,Platinum
58107776,Female,6/26/1974,HI,794-819-7165,Silver
30743608,Male,2/19/1990,DE,541-523-1263,Gold
50530333,Male,5/22/1999,WA,152-152-9356,Silver
29282358,Female,10/5/1985,NE,291-953-5768,Gold
55375167,Male,3/30/1969,NE,245-617-1348,Silver
37692329,Male,5/28/1992,LA,195-175-4275,Platinum
2753882,Female,10/12/1994,CA,739-738-7493,Platinum
88219691,Female,10/27/1994,NJ,298-359-2684,Silver
67722830,Male,11/30/1973,TN,674-654-7168,Platinum
11321295,Male,11/13/1965,DE,429-596-2169,Platinum
28502965,Female,9/11/1966,DE,598-625-9431,Silver
51782731,Male,12/18/1989,PA,728-916-1287,Silver
76395629,Male,1/29/1972,ID,812-836-7854,Silver
20960664,Female,10/28/1987,VT,276-719-1489,Platinum
79683883,Male,9/30/1985,WY,194-892-7628,Gold
33388786,Female,4/13/1982,MO,182-164-7386,Gold
52361935,Male,3/27/1995,MI,925-931-3164,Silver
97038550,Female,10/8/1973,FL,963-613-5369,Platinum
25911554,Female,6/21/1998,IN,321-235-9236,Gold
43834942,Female,9/8/1980,ND,281-286-8362,Gold
17242900,Male,3/27/1982,NM,472-435-3847,Platinum
54094880,Male,6/1/1984,DE,568-481-7418,Silver
59809467,Female,12/3/1987,IN,231-893-6274,Silver
62204138,Female,12/15/1989,DE,471-934-4961,Platinum
93993324,Male,2/23/1964,WI,853-261-1783,Gold
84995304,Female,5/5/1985,GA,347-765-3861,Silver
70955654,Female,8/23/1992,IL,867-154-5847,Silver
43274276,Female,4/22/1977,OR,829-634-2537,Silver
23236713,Male,1/24/1994,OK,564-237-8963,Silver
76501371,Male,2/14/1976,NY,341-346-8795,Silver
56554262,Male,10/26/1982,ND,142-258-9876,Silver
48123202,Female,12/31/1998,AL,932-672-6327,Gold
93915431,Male,9/8/1967,ME,134-785-1687,Gold
38560100,Female,11/1/1973,IL,586-724-1493,Platinum
31544049,Male,6/4/1971,KS,672-351-1964,Silver
68615086,Male,11/12/1980,VT,326-937-6952,Platinum
55535045,Male,8/11/1994,AR,164-539-3948,Gold
17988592,Male,12/16/1999,NM,472-186-4937,Platinum
4883962,Male,1/20/1972,FL,478-721-9743,Platinum
33812279,Male,7/17/1991,KS,621-297-6317,Platinum
81854173,Male,3/13/1993,CO,743-429-8173,Gold
24579061,Female,11/24/1967,IN,763-365-2837,Platinum
29478976,Male,10/6/1983,MO,964-768-7924,Gold
10462042,Female,6/6/1964,WA,351-316-3172,Platinum
52265112,Female,8/21/1987,MA,251-361-5218,Gold
53900680,Male,3/6/1999,MA,591-168-3457,Silver
69784779,Female,8/20/1990,IA,521-358-6847,Platinum
26810768,Female,7/2/1987,WA,387-791-4125,Platinum
82637319,Male,3/17/1999,KY,647-375-9124,Platinum
69546065,Male,6/12/1994,PA,641-659-5972,Platinum
67427492,Female,11/1/1992,MN,693-794-2741,Silver
18213216,Male,10/6/1969,KY,416-461-9145,Silver
98204394,Male,12/6/1968,VA,685-823-5284,Silver
63413368,Male,9/1/1966,VA,958-159-2173,Silver
91136854,Female,4/7/1998,WI,943-194-1759,Silver
11187680,Female,10/11/1974,CO,841-732-5392,Silver
88205075,Male,6/3/1973,VA,631-658-1329,Platinum
40728123,Male,7/3/1977,UT,298-863-2514,Platinum
65176092,Male,11/23/1975,NC,651-379-2486,Silver
84229777,Female,3/18/1976,TN,728-184-5376,Platinum
76093960,Female,6/23/1984,OK,867-923-3798,Silver
36994344,Male,12/16/1975,ME,673-618-4586,Silver
68043300,Male,6/3/1993,MN,687-879-7692,Platinum
28901669,Female,5/28/1981,MT,798-435-4862,Silver
86916099,Female,3/15/1969,ME,386-156-9384,Gold
29826894,Female,1/6/1991,AZ,124-198-8153,Silver
79637467,Male,3/27/1971,IA,736-694-8274,Gold
36632227,Female,6/9/1960,GA,369-589-9865,Silver
77510822,Female,3/18/1986,AK,436-934-7156,Silver
2651069,Male,3/9/1999,AL,681-981-1478,Gold
8150738,Female,12/6/1987,NH,842-127-7916,Platinum
67268108,Male,10/18/1973,FL,159-192-1758,Platinum
53907868,Male,2/7/1978,WA,768-578-9871,Platinum
86246733,Male,7/17/1982,MN,248-471-2985,Gold
45568489,Female,11/3/1967,OH,826-463-4186,Silver
28032985,Female,12/10/1964,NM,926-817-6247,Gold
33210182,Male,11/9/1989,CA,387-759-2586,Platinum
24731784,Female,10/17/1980,DE,169-631-1283,Silver
36126424,Female,2/11/1981,ME,398-768-5283,Platinum
95452498,Female,2/21/1988,MI,391-537-8235,Silver
22756942,Male,10/9/1982,FL,462-823-3126,Silver
62489316,Female,8/15/1993,GA,985-185-1659,Gold
4825461,Female,4/27/1965,NE,791-473-9763,Platinum
63915259,Male,5/22/1986,GA,829-157-6239,Gold
6723724,Female,4/20/1989,AL,592-368-3149,Platinum
51719336,Female,7/6/1966,AK,149-149-3164,Platinum
89808931,Female,7/22/1989,WA,524-613-4786,Silver
55105629,Male,2/6/1981,TN,516-198-5127,Silver
79076502,Female,12/30/1977,NJ,259-527-3218,Silver
81131066,Male,11/1/1968,AL,579-265-6183,Gold
75995055,Female,12/14/1995,OK,845-854-5473,Gold
24425429,Female,6/9/1987,NC,894-913-8453,Gold
51382348,Male,12/28/1970,MT,594-728-3497,Silver
18842829,Male,9/10/1969,ME,561-158-4657,Platinum
98180346,Male,2/16/1992,NV,685-872-4789,Platinum
53013094,Male,6/7/1976,PA,192-576-9158,Silver
25263633,Male,12/4/1966,ND,536-497-6752,Silver
16444738,Female,2/18/1990,TN,298-376-5293,Platinum
64231993,Male,7/15/1982,CO,617-896-5736,Gold
89530919,Male,9/20/1973,IL,938-684-9572,Gold
38011078,Female,5/20/1976,NE,271-123-1475,Gold
76314493,Female,10/2/1961,DE,389-764-4853,Silver
51975640,Female,5/10/1982,NC,139-648-8714,Silver
47593642,Male,6/20/1970,HI,596-684-9786,Gold
42439009,Female,9/17/1976,NV,591-218-5973,Gold
51613894,Male,1/2/1988,MO,675-213-7462,Silver
49078798,Male,5/7/1965,VT,168-931-2841,Gold
17822772,Male,5/7/1989,OK,428-196-6913,Platinum
94643289,Male,4/24/1998,AK,317-612-1425,Silver
47535244,Female,9/16/1961,TN,413-134-6842,Gold
70770204,Female,1/17/1984,CT,935-274-6725,Silver
92171044,Male,7/24/1964,WI,156-514-3516,Gold
98218159,Female,9/2/1976,PA,563-417-5261,Platinum
24112592,Male,6/11/1980,NV,916-185-5697,Platinum
97053819,Female,5/6/1997,NC,243-295-1862,Gold
88484857,Male,5/21/1960,UT,189-845-2459,Silver
89965541,Male,6/19/1967,MT,359-678-4658,Silver
96431710,Female,7/20/1982,NM,349-214-6872,Gold
13059025,Female,8/28/1999,RI,624-716-1427,Platinum
49481916,Female,3/28/1996,SC,734-137-4865,Silver
10956208,Male,12/21/1984,AZ,194-786-8173,Gold
43059280,Male,12/16/1994,RI,651-127-8152,Platinum
92971195,Male,2/2/1975,DE,892-173-4657,Gold
97578924,Male,11/22/1978,CO,654-176-5324,Platinum
81790039,Female,6/22/1995,HI,612-374-9851,Gold
36812323,Male,1/24/1960,ND,237-257-3415,Silver
63544225,Female,3/30/1999,CO,934-658-2318,Platinum
4669941,Male,8/3/1982,AK,761-462-3458,Platinum
64395359,Female,9/8/1994,CA,968-896-9268,Silver
25634799,Female,11/4/1974,KS,724-781-3692,Platinum
31654316,Female,7/12/1981,IN,683-351-1463,Gold
49499709,Male,10/5/1977,KS,827-152-3125,Silver
45415342,Female,3/12/1996,DE,915-398-4596,Platinum
72734097,Male,3/16/1960,MA,392-741-5178,Gold
94707309,Female,6/4/1988,MA,835-123-6381,Gold
84750181,Female,5/16/1993,AK,419-431-6251,Platinum
58380749,Female,8/12/1973,SC,672-491-4529,Silver
42345842,Female,1/21/1975,NH,795-476-5347,Gold
54103924,Male,3/8/1985,NJ,794-849-1953,Gold
48099288,Female,2/24/1987,HI,918-942-6527,Gold
57896241,Male,9/11/1996,VT,678-356-9671,Silver
70730377,Female,1/28/1978,CO,835-781-6495,Gold
6125426,Female,4/23/1998,NE,317-978-1285,Silver
48227009,Male,1/22/1990,VA,593-164-6714,Gold
86308184,Female,5/25/1990,WV,613-849-3215,Platinum
69065193,Female,9/26/1980,MT,963-496-4127,Silver
79846638,Female,9/17/1969,MO,248-215-1346,Platinum
38047917,Male,8/18/1985,VT,972-254-1352,Gold
73611258,Male,3/8/1995,WV,246-752-9853,Gold
14696479,Female,7/7/1991,IA,678-719-8217,Silver
25166037,Male,10/28/1999,AL,537-268-6189,Gold
1123356,Female,7/29/1960,OR,736-725-9481,Silver
97162684,Male,5/19/1994,WV,874-957-9764,Silver
95055469,Female,6/23/1964,MS,632-725-7146,Platinum
56985179,Male,5/14/1974,MN,894-163-7685,Platinum
69039320,Female,9/16/1975,NH,216-854-4563,Platinum
84514444,Female,6/26/1982,NV,712-156-7298,Platinum
79953263,Male,1/14/1967,ID,685-954-6532,Platinum
15557396,Male,11/3/1975,AR,915-247-7815,Gold
95002919,Male,4/15/1964,TN,128-196-6753,Platinum
7612094,Male,8/26/1983,UT,145-734-4176,Gold
53260501,Female,5/24/1998,OK,624-125-7382,Silver
92072156,Female,7/28/1971,DE,186-419-2974,Silver
77570823,Female,12/20/1963,AL,846-573-6251,Platinum
69010101,Female,10/23/1971,AR,825-591-5293,Platinum
1223055,Male,6/2/1995,CA,726-984-2871,Platinum
9884792,Male,12/23/1974,GA,764-745-3951,Silver
1144598,Female,4/27/1980,WY,571-397-1798,Platinum
59716520,Male,8/5/1986,CT,348-546-2769,Silver
59056552,Female,4/10/1993,NC,864-129-4829,Gold
25164999,Female,10/25/1993,MD,261-583-6387,Silver
70761779,Female,7/12/1992,AL,932-146-8539,Silver
62934102,Female,7/25/1997,OR,518-352-6498,Silver
11472207,Male,4/19/1961,TN,217-817-4251,Gold
97856694,Female,11/14/1991,TN,639-694-8245,Gold
86818440,Male,12/28/1983,WA,397-129-9435,Platinum
66433138,Male,6/27/1978,TX,752-617-3867,Gold
87806611,Female,10/11/1978,MD,276-785-5134,Silver
36252121,Female,4/29/1985,IN,127-359-1385,Gold
19916012,Female,1/22/1964,KS,417-426-7961,Silver
79440308,Female,3/11/1997,AR,623-328-4615,Gold
23116437,Female,6/6/1965,KY,625-325-1724,Silver
58957713,Female,6/22/1962,MO,146-714-8675,Gold
4798021,Male,1/16/1960,FL,516-315-9143,Platinum
83441797,Male,12/1/1997,IL,489-528-1573,Silver
30154531,Male,11/16/1974,MA,482-654-2465,Platinum
38117638,Female,6/4/1992,MA,175-527-2541,Silver
12112711,Female,5/15/1997,CA,795-234-3741,Platinum
4652602,Female,10/3/1978,PA,128-371-7892,Gold
45187280,Female,4/4/1996,ND,325-842-5629,Gold
77930023,Male,9/27/1982,GA,967-682-2918,Silver
58934617,Male,4/1/1990,CA,157-896-3619,Platinum
41182960,Male,5/31/1970,CA,865-345-1634,Gold
64488618,Male,2/28/1974,RI,967-894-1953,Silver
59793026,Male,12/9/1966,ME,231-719-3629,Gold
86621072,Female,9/17/1967,AR,194-254-6572,Platinum
47250458,Female,8/26/1988,VT,157-132-6489,Platinum
35163792,Female,5/22/1994,CO,371-423-2618,Platinum
93871952,Male,9/1/1993,NC,582-426-1238,Platinum
32464636,Female,8/25/1988,DE,862-247-1496,Gold
7583158,Female,3/20/1997,MT,481-519-7921,Gold
80670612,Female,7/12/1994,OH,549-586-9146,Gold
21840201,Female,1/21/1991,KY,281-146-5627,Platinum
29130403,Male,12/27/1998,VT,457-421-1976,Silver
89806715,Female,10/26/1960,IA,157-529-5243,Silver
56016139,Male,3/10/1970,WI,346-389-9324,Platinum
20028241,Male,9/19/1990,MA,762-628-3261,Platinum
98341654,Male,12/16/1997,NH,375-624-6749,Platinum
44643917,Male,12/19/1968,WA,278-698-5972,Gold
76185878,Male,1/27/1994,NC,463-812-2598,Gold
18665169,Female,2/24/1972,MD,429-825-9486,Gold
17177153,Female,10/3/1985,HI,951-927-8617,Platinum
84736739,Male,2/27/1994,NE,948-947-1695,Gold
20110599,Female,4/22/1987,SD,163-459-7846,Silver
15635627,Male,3/16/1997,OK,417-531-1953,Silver
3374112,Female,11/11/1960,MI,213-968-4851,Platinum
78415715,Female,7/28/1978,OH,381-591-8265,Platinum
83080037,Male,6/16/1982,MA,965-968-1539,Silver
74017955,Male,12/9/1970,CO,582-859-4869,Gold
33372791,Male,3/27/1965,NC,642-328-5489,Gold
48874104,Male,12/5/1980,GA,638-891-6419,Silver
61822144,Male,5/21/1998,LA,184-816-8412,Silver
95418320,Male,8/1/1988,IN,324-817-2436,Silver
26450621,Female,2/14/1987,FL,579-358-6391,Silver
64622520,Female,5/3/1985,MT,624-571-5793,Gold
32521691,Female,1/7/1986,ME,326-536-6253,Platinum
39444603,Female,4/12/1969,TN,431-425-7815,Platinum
48960366,Male,8/9/1964,NC,528-576-2918,Platinum
80701300,Female,7/28/1994,MS,593-423-4839,Silver
13275896,Male,2/18/1969,NV,659-459-7463,Platinum
62816998,Male,12/22/1960,AL,941-923-5623,Silver
85700566,Male,8/17/1968,DE,289-394-4517,Gold
81138909,Male,8/9/1989,NY,163-876-9473,Silver
31115028,Female,10/16/1965,NE,321-243-9564,Silver
59843845,Female,11/14/1992,LA,657-637-9325,Platinum
75471235,Male,7/23/1991,CO,942-659-6475,Gold
37365245,Male,4/24/1972,ND,278-968-4875,Silver
30886292,Male,5/13/1974,PA,179-142-9184,Silver
20094340,Male,6/5/1966,WY,497-752-5396,Silver
40948894,Female,7/16/1973,UT,239-839-2365,Gold
59903277,Male,5/19/1996,OK,634-697-8673,Gold
